City,FAA,IATA,ICAO,Airport,Role,Enplanements
ALABAMA,,,,,,
Birmingham,BHM,BHM,KBHM,Birmingham-Shuttlesworth International Airport,P-S,1_457_562
Dothan,DHN,DHN,KDHN,Dothan Regional Airport,P-N,52_855
Huntsville,HSV,HSV,KHSV,Huntsville International Airport (Carl T. Jones Field),P-S,580_932
Mobile,MOB,MOB,KMOB,Mobile Regional Airport,P-N,297_544
Montgomery,MGM,MGM,KMGM,Montgomery Regional Airport (Dannelly Field),P-N,170_544
ALASKA,,,,,,
Anchorage,MRI,MRI,PAMR,Merrill Field,P-N,10_478
Anchorage,ANC,ANC,PANC,Ted Stevens Anchorage International Airport,P-M,2_642_607
Bethel,BET,BET,PABE,Bethel Airport (also see Bethel Seaplane Base),P-N,160_110
Cordova,CDV,CDV,PACV,Merle K. (Mudhole) Smith Airport,P-N,17_654
Deadhorse,SCC,SCC,PASC,Deadhorse Airport (Prudhoe Bay Airport),P-N,43_655
Dillingham,DLG,DLG,PADL,Dillingham Airport,P-N,34_496
Fairbanks,FAI,FAI,PAFA,Fairbanks International Airport,P-S,549_289
Gustavus,GST,GST,PAGS,Gustavus Airport,P-N,11_023
Homer,HOM,HOM,PAHO,Homer Airport,P-N,46_867
Juneau,JNU,JNU,PAJN,Juneau International Airport,P-N,440_277
Kenai,ENA,ENA,PAEN,Kenai Municipal Airport,P-N,93_889
Ketchikan,KTN,KTN,PAKT,Ketchikan International Airport,P-N,135_389
King Salmon,AKN,AKN,PAKN,King Salmon Airport,P-N,44_131
Klawock,AKW,KLW,PAKW,Klawock Airport (also see Klawock Seaplane Base),P-N,13_503
Kodiak,ADQ,ADQ,PADQ,Kodiak Airport (Benny Benson State Airport),P-N,81_652
Kotzebue,OTZ,OTZ,PAOT,Ralph Wien Memorial Airport,P-N,69_070
Nome,OME,OME,PAOM,Nome Airport,P-N,64_122
Petersburg,PSG,PSG,PAPG,Petersburg James A. Johnson Airport,P-N,24_520
Sitka,SIT,SIT,PASI,Sitka Rocky Gutierrez Airport,P-N,87_119
Unalaska,DUT,DUT,PADU,Unalaska Airport (Tom Madsen/Dutch Harbor Airport),P-N,29_229
Utqiaġvik (Barrow),BRW,BRW,PABR,Wiley Post-Will Rogers Memorial Airport,P-N,46_450
Wrangell,WRG,WRG,PAWG,Wrangell Airport (also see Wrangell Seaplane Base),P-N,14_033
Yakutat,YAK,YAK,PAYA,Yakutat Airport (also see Yakutat Seaplane Base),P-N,11_880
ARIZONA,,,,,,
Flagstaff,FLG,FLG,KFLG,Flagstaff Pulliam Airport,P-N,67_793
Mesa,IWA,AZA,KIWA,Phoenix-Mesa Gateway Airport (formerly Williams AFB),P-S,778_972
Page,PGA,PGA,KPGA,Page Municipal Airport,P-N,25_387
Phoenix,PHX,PHX,KPHX,Phoenix Sky Harbor International Airport,P-L,21_662_580
Prescott,PRC,PRC,KPRC,Prescott Municipal Airport (Ernest A. Love Field),P-N,10_337
Tucson,TUS,TUS,KTUS,Tucson International Airport,P-S,1_753_227
Yuma,NYL,YUM,KNYL,Yuma International Airport / MCAS Yuma,P-N,79_731
ARKANSAS,,,,,,
Fayetteville,XNA,XNA,KXNA,Northwest Arkansas National Airport,P-S,759_127
Fort Smith,FSM,FSM,KFSM,Fort Smith Regional Airport,P-N,86_793
Little Rock,LIT,LIT,KLIT,Bill and Hillary Clinton National Airport (Adams Field) (was Little Rock National),P-S,1_031_258
Texarkana,TXK,TXK,KTXK,Texarkana Regional Airport (Webb Field),P-N,37_599
CALIFORNIA,,,,,,
Arcata/Eureka,ACV,ACV,KACV,California Redwood Coast-Humboldt County Airport,P-N,69_575
Bakersfield,BFL,BFL,KBFL,Meadows Field,P-N,105_104
Burbank,BUR,BUR,KBUR,Hollywood Burbank Airport (was Bob Hope Airport),P-M,2_680_240
Fresno,FAT,FAT,KFAT,Fresno Yosemite International Airport,P-S,853_538
Long Beach,LGB,LGB,KLGB,Long Beach Airport (Daugherty Field),P-S,1_908_635
Los Angeles,LAX,LAX,KLAX,Los Angeles International Airport,P-L,42_624_050
Monterey,MRY,MRY,KMRY,Monterey Regional Airport (was Monterey Peninsula Airport),P-N,186_806
Oakland,OAK,OAK,KOAK,Oakland International Airport,P-M,6_686_603
Ontario,ONT,ONT,KONT,Ontario International Airport,P-M,2_498_993
Orange County,SNA,SNA,KSNA,John Wayne Airport (was Orange County Airport),P-M,5_201_642
Palm Springs,PSP,PSP,KPSP,Palm Springs International Airport,P-S,1_163_883
Redding,RDD,RDD,KRDD,Redding Municipal Airport,P-N,42_775
Sacramento,SMF,SMF,KSMF,Sacramento International Airport,P-M,5_907_629
San Bernardino,SBD,SBD,KSBD,San Bernardino International Airport,R,20_000
San Diego,SAN,SAN,KSAN,San Diego International Airport (Lindbergh Field),P-L,12_174_224
San Francisco,SFO,SFO,KSFO,San Francisco International Airport,P-L,27_790_717
San Jose,SJC,SJC,KSJC,Norman Y. Mineta San José International Airport,P-M,7_032_851
San Luis Obispo,SBP,SBP,KSBP,San Luis Obispo County Regional Airport (McChesney Field),P-N,235_570
Santa Barbara,SBA,SBA,KSBA,Santa Barbara Municipal Airport (Santa Barbara Airport),P-S,403_745
Santa Maria,SMX,SMX,KSMX,Santa Maria Public Airport (Capt G. Allan Hancock Field),P-N,23_008
Santa Rosa,STS,STS,KSTS,Charles M. Schulz-Sonoma County Airport,P-N,217_480
Stockton,SCK,SCK,KSCK,Stockton Metropolitan Airport,P-N,98_908
COLORADO,,,,,,
Alamosa,ALS,ALS,KALS,San Luis Valley Regional Airport (Bergman Field),P-N,7_125
Aspen,ASE,ASE,KASE,Aspen/Pitkin County Airport (Sardy Field),P-N,285_448
Colorado Springs,COS,COS,KCOS,City of Colorado Springs Municipal Airport,P-S,845_742
Denver,DEN,DEN,KDEN,Denver International Airport,P-L,31_362_941
Durango,DRO,DRO,KDRO,Durango-La Plata County Airport,P-N,189_225
Eagle/Vail,EGE,EGE,KEGE,Eagle County Regional Airport,P-N,173_863
Grand Junction,GJT,GJT,KGJT,Grand Junction Regional Airport (Walker Field),P-N,221_978
Gunnison,GUC,GUC,KGUC,Gunnison-Crested Butte Regional Airport,P-N,36_238
Hayden,HDN,HDN,KHDN,Yampa Valley Airport (Yampa Valley Regional),P-N,100_079
Montrose,MTJ,MTJ,KMTJ,Montrose Regional Airport,P-N,133_924
CONNECTICUT,,,,,,
Hartford,BDL,BDL,KBDL,Bradley International Airport,P-M,3_378_035
New Haven,HVN,HVN,KHVN,Tweed-New Haven Airport,P-N,38_991
DELAWARE,,,,,,
Wilmington,ILG,ILG,KILG,Wilmington Airport,P-N,703
FLORIDA,,,,,,
Daytona Beach,DAB,DAB,KDAB,Daytona Beach International Airport,P-N,275_166
Fort Lauderdale,FLL,FLL,KFLL,Fort Lauderdale-Hollywood International Airport,P-L,13_598_994
Fort Myers,RSW,RSW,KRSW,Southwest Florida International Airport,P-M,5_080_805
Fort Walton Beach,VPS,VPS,KVPS,Destin-Fort Walton Beach Airport / Eglin Air Force Base,P-S,973_477
Gainesville,GNV,GNV,KGNV,Gainesville Regional Airport,P-N,200_444
Jacksonville,JAX,JAX,KJAX,Jacksonville International Airport,P-M,2_425_685
Key West,EYW,EYW,KEYW,Key West International Airport,P-S,741_130
Melbourne,MLB,MLB,KMLB,Melbourne Orlando International Airport,P-N,176_820
Miami,MIA,MIA,KMIA,Miami International Airport,P-L,17_500_096
Orlando,MCO,MCO,KMCO,Orlando International Airport,P-L,19_618_838
Panama City,ECP,ECP,KECP,Northwest Florida Beaches International Airport,P-S,794_846
Pensacola,PNS,PNS,KPNS,Pensacola International Airport,P-S,1_168_575
Punta Gorda,PGD,PGD,KPGD,Punta Gorda Airport,P-S,783_397
Sanford,SFB,SFB,KSFB,Orlando Sanford International Airport,P-S,1_174_471
Sarasota,SRQ,SRQ,KSRQ,Sarasota-Bradenton International Airport,P-S,1_574_063
St. Petersburg,PIE,PIE,KPIE,St. Pete-Clearwater International Airport,P-S,1_021_007
Tallahassee,TLH,TLH,KTLH,Tallahassee International Airport,P-N,319_886
Tampa,TPA,TPA,KTPA,Tampa International Airport,P-L,8_847_197
West Palm Beach,PBI,PBI,KPBI,Palm Beach International Airport,P-M,2_567_897
GEORGIA,,,,,,
Albany,ABY,ABY,KABY,Southwest Georgia Regional Airport,P-N,39_422
Atlanta,ATL,ATL,KATL,Hartsfield-Jackson Atlanta International Airport,P-L,51_865_797
Augusta,AGS,AGS,KAGS,Augusta Regional Airport (Bush Field),P-N,300_598
Brunswick,BQK,BQK,KBQK,Brunswick Golden Isles Airport,P-N,40_443
Columbus,CSG,CSG,KCSG,Columbus Airport,P-N,49_354
Macon,MCN,MCN,KMCN,Middle Georgia Regional Airport,P-N,15_431
Savannah,SAV,SAV,KSAV,Savannah/Hilton Head International Airport,P-S,1_356_660
Valdosta,VLD,VLD,KVLD,Valdosta Regional Airport,P-N,44_609
HAWAII,,,,,,
Hilo_ Hawaii,ITO,ITO,PHTO,Hilo International Airport,P-S,599_148
Honolulu_ Oahu,HNL,HNL,PHNL,Daniel K. Inouye International Airport,P-M,10_017_149
Kahului_ Maui,OGG,OGG,PHOG,Kahului Airport,P-M,3_571_660
Kailua-Kona_ Hawaii,KOA,KOA,PHKO,Ellison Onizuka Kona International Airport at Keahole,P-S,1_829_020
Kaunakakai_ Molokai,MKK,MKK,PHMK,Molokai Airport (Hoolehua Airport),P-N,79_336
Lanai City_ Lanai,LNY,LNY,PHNY,Lanai Airport,P-N,42_061
Lihue_ Kauai,LIH,LIH,PHLI,Lihue Airport,P-S,1_644_590
IDAHO,,,,,,
Boise,BOI,BOI,KBOI,Boise Airport (Boise Air Terminal) (Gowen Field),P-M,1_943_181
Hailey / Sun Valley,SUN,SUN,KSUN,Friedman Memorial Airport,P-N,93_280
Idaho Falls,IDA,IDA,KIDA,Idaho Falls Regional Airport (Fanning Field),P-N,161_019
Lewiston,LWS,LWS,KLWS,Lewiston-Nez Perce County Airport,P-N,57_957
Pocatello,PIH,PIH,KPIH,Pocatello Regional Airport,P-N,46_303
Twin Falls,TWF,TWF,KTWF,Magic Valley Regional Airport (Joslin Field),P-N,47_084
ILLINOIS,,,,,,
Belleville,BLV,BLV,KBLV,MidAmerica St. Louis Airport / Scott Air Force Base,P-N,152_278
Bloomington / Normal,BMI,BMI,KBMI,Central Illinois Regional Airport at Bloomington-Normal,P-N,178_057
Champaign / Urbana / Savoy,CMI,CMI,KCMI,University of Illinois - Willard Airport,P-N,109_878
Chicago,MDW,MDW,KMDW,Chicago Midway International Airport,P-L,10_678_018
Chicago,ORD,ORD,KORD,Chicago O'Hare International Airport,P-L,39_873_927
